(0, 0)
(-0.0541, 0.9806)
(-0.049, 0.9624)
(-0.0419, 0.9324)
(-0.0376, 0.906)
(-0.0334, 0.8829)
(-0.0297, 0.8518)
(-0.0268, 0.8253)
(-0.0183, 0.7872)
(-0.0165, 0.757)
(-0.014, 0.7201)
(-0.013, 0.6899)
(-0.0122, 0.653)
(-0.0112, 0.6227)
(-0.0104, 0.586)
(0, 0)
(0.0304, 0.998)
(0.0285, 0.9658)
(0.0303, 0.93)
(0.0321, 0.8942)
(0.0316, 0.861)
(0.0295, 0.8376)
(0.0273, 0.8156)
(0.0205, 0.7863)
(0.0149, 0.7488)
(0.0114, 0.7199)
(0, 0)
(0.0258, 0.9908)
(0.0178, 0.9653)
(0.0125, 0.9287)
(0, 0)
(0.083, 0.9922)
(0.0779, 0.9728)
(0.0696, 0.9425)
(0.0586, 0.9025)
(0.0493, 0.8744)
(0.046, 0.8501)
(0.0435, 0.8053)
(0.0415, 0.7696)
(0.0388, 0.7249)
(0.0368, 0.6891)
(0.0342, 0.6443)
(0.0321, 0.6086)
(0.0284, 0.5673)
(0.0221, 0.5377)
(0.0157, 0.5016)
(0.0117, 0.473)
(0, 0)
(-0.0301, 0.9987)
(-0.0233, 0.9752)
(-0.0181, 0.9513)
(-0.0153, 0.9144)
(-0.0135, 0.8843)
(-0.0118, 0.8465)
(-0.0112, 0.8174)
(0, 0)
(-0.0888, 0.9969)
(-0.0801, 0.9751)
(-0.0673, 0.9323)
(-0.0588, 0.9056)
(-0.0502, 0.8711)
(-0.0432, 0.8455)
(-0.0375, 0.8105)
(-0.0348, 0.7826)
(-0.0308, 0.747)
(-0.0258, 0.7234)
(-0.0182, 0.6976)
(-0.0159, 0.6607)
(-0.0146, 0.6316)
(-0.0127, 0.5936)
(-0.0116, 0.5635)
(0, 0)
(-0.0295, 0.9983)
(-0.0224, 0.9844)
(-0.0183, 0.9644)
(-0.0165, 0.9342)
(-0.0149, 0.8972)
(-0.0132, 0.8671)
(-0.012, 0.8291)
(-0.0117, 0.7999)
(-0.0112, 0.7697)
(0, 0)
(-0.0607, 0.9983)
(-0.0608, 0.9981)
(-0.0513, 0.964)
(-0.045, 0.9372)
(-0.0387, 0.9032)
(-0.0331, 0.8815)
(-0.0296, 0.8506)
(-0.021, 0.8184)
(-0.0163, 0.7831)
(-0.0149, 0.7528)
(-0.0136, 0.7148)
(-0.0127, 0.6857)
(-0.0115, 0.6477)
(-0.0106, 0.6185)
(0, 0)
(-0.0215, 0.9843)
(-0.0167, 0.9633)
(-0.015, 0.9342)
(-0.0138, 0.8962)
(-0.0134, 0.866)
(-0.0125, 0.829)
(-0.0121, 0.7988)
(-0.0113, 0.7619)
(-0.0109, 0.7317)
(0, 0)
(0.0931, 0.9947)
(0.0938, 0.9786)
(0.0776, 0.9382)
(0.0699, 0.9113)
(0.0605, 0.8837)
(0.0504, 0.8565)
(0.0474, 0.8403)
(0.0443, 0.7957)
(0.0418, 0.7598)
(0.0386, 0.7152)
(0.0362, 0.6795)
(0.0319, 0.6382)
(0.0312, 0.6138)
(0.0333, 0.5691)
(0.0346, 0.5422)
(0.0303, 0.5124)
(0.0297, 0.4969)
(0.0211, 0.4615)
(0.0168, 0.4318)
(0.0126, 0.4029)
(0, 0)
(0.0211, 0.9846)
(0, 0)
(0.0533, 0.994)
(0.0442, 0.9718)
(0.0414, 0.9475)
(0.0396, 0.9027)
(0.0382, 0.8669)
(0.0364, 0.8221)
(0.0351, 0.7863)
(0.0333, 0.7416)
(0.0319, 0.7058)
(0.03, 0.6621)
(0.0269, 0.64)
(0.0289, 0.6132)
(0.0201, 0.5775)
(0.0156, 0.5476)
(0.0105, 0.511)
(0, 0)
(-0.0563, 0.9945)
(-0.0482, 0.9694)
(-0.0432, 0.9511)
(-0.0373, 0.917)
(-0.0319, 0.8956)
(-0.0285, 0.8647)
(-0.0238, 0.8382)
(-0.0196, 0.8003)
(-0.017, 0.7703)
(-0.0151, 0.7335)
(-0.0133, 0.7032)
(-0.0118, 0.673)
(-0.0113, 0.6362)
(-0.0105, 0.606)
(0, 0)
(0.0547, 0.9818)
(0.0473, 0.9619)
(0.0441, 0.9173)
(0.0416, 0.8815)
(0.0384, 0.8368)
(0.0358, 0.8011)
(0.0315, 0.7599)
(0.0308, 0.7354)
(0.0329, 0.6907)
(0.0345, 0.6549)
(0.0321, 0.6407)
(0.0297, 0.6095)
(0.0236, 0.5881)
(0.0175, 0.552)
(0.0128, 0.5223)
(0, 0)
(0.0302, 0.9879)
(0.0318, 0.952)
(0.0338, 0.9074)
(0.0322, 0.892)
(0.0286, 0.862)
(0.0252, 0.8392)
(0.0183, 0.8022)
(0.0146, 0.7734)
(0, 0)
(0.0899, 0.9977)
(0.0872, 0.9869)
(0.0756, 0.953)
(0.065, 0.9168)
(0.0566, 0.8831)
(0.0508, 0.8503)
(0.0492, 0.8145)
(0.0472, 0.7698)
(0.0455, 0.7339)
(0.0436, 0.6892)
(0.042, 0.6534)
(0.0399, 0.6086)
(0.0383, 0.5728)
(0.0364, 0.5281)
(0.0347, 0.4923)
(0.0331, 0.4565)
(0.0312, 0.4118)
(0.0283, 0.3794)
(0.0289, 0.346)
(0.0227, 0.325)
(0.0162, 0.2887)
(0.0123, 0.2587)
(0, 0)
(0.0602, 0.998)
(0.0559, 0.9866)
(0.0448, 0.9514)
(0.0444, 0.9246)
(0.0436, 0.8798)
(0.043, 0.8439)
(0.0424, 0.7991)
(0.0417, 0.7633)
(0.0411, 0.7275)
(0.0405, 0.6827)
(0.0399, 0.6468)
(0.0392, 0.602)
(0.0387, 0.5662)
(0.0379, 0.5214)
(0.0373, 0.4856)
(0.0367, 0.4408)
(0.0362, 0.4049)
(0.0355, 0.3601)
(0.035, 0.3243)
(0.0343, 0.2795)
(0.0337, 0.2437)
(0.0333, 0.2078)
(0.0326, 0.163)
(0.032, 0.1272)
(0.0315, 0.0824)
(0.031, 0.0465)
(0.0303, 0.0018)
(0.0298, -0.0341)
(0.0292, -0.0789)
(0.0287, -0.1147)
(0.0281, -0.1595)
(0.0277, -0.1954)
(0.0266, -0.229)
(0.0194, -0.2558)
(0.0137, -0.2923)
(0.0101, -0.3223)
(0, 0)
(0.0573, 0.9897)
(0.0492, 0.9632)
(0.0476, 0.9274)
(0.0457, 0.8826)
(0.0441, 0.8469)
(0.0422, 0.8021)
(0.0407, 0.7663)
(0.0387, 0.7215)
(0.0372, 0.6858)
(0.0353, 0.6409)
(0.0337, 0.6052)
(0.0317, 0.5604)
(0.0303, 0.5246)
(0.0275, 0.4923)
(0.0206, 0.4563)
(0.0161, 0.4264)
(0.0112, 0.3897)
(0, 0)
(0.0843, 0.9854)
(0.0725, 0.9494)
(0.064, 0.9204)
(0.0529, 0.8793)
(0.0492, 0.8542)
(0.0466, 0.8095)
(0.0447, 0.7737)
(0.0421, 0.729)
(0.04, 0.6932)
(0.0376, 0.6485)
(0.0355, 0.6127)
(0.0334, 0.5769)
(0.0305, 0.5344)
(0.0285, 0.5112)
(0.0311, 0.4665)
(0.0303, 0.4424)
(0.0272, 0.4124)
(0.0201, 0.3842)
(0.0147, 0.3477)
(0.0105, 0.3178)
(0, 0)
(-0.0572, 0.9906)
(-0.0552, 0.9823)
(-0.0509, 0.9618)
(-0.0465, 0.9468)
(-0.0407, 0.9162)
(-0.0344, 0.89)
(-0.0315, 0.864)
(-0.0229, 0.8295)
(-0.0178, 0.8055)
(-0.0153, 0.7686)
(-0.0136, 0.7386)
(-0.0126, 0.7018)
(-0.0118, 0.6715)
(-0.0112, 0.6334)
(-0.0106, 0.6045)
(0, 0)
(0.0849, 0.9794)
(0.0739, 0.9501)
(0.0632, 0.9213)
(0.0531, 0.9002)
(0.0441, 0.8726)
(0.0439, 0.8368)
(0.0437, 0.8009)
(0.0381, 0.7786)
(0.0339, 0.7567)
