(0.8, 1.15)
(0.81, 1.15)
(0.83, 1.15)
(0.86, 1.15)
(0.89, 1.15)
(0.91, 1.15)
(0.94, 1.15)
(0.96, 1.14)
(0.99, 1.14)
(1.02, 1.14)
(1.05, 1.14)
(1.08, 1.14)
(1.1, 1.13)
(1.12, 1.11)
(1.15, 1.08)
(1.17, 1.07)
(1.17, 1.05)
(1.18, 1.04)
(1.17, 1.01)
(1.17, 0.98)
(1.17, 0.96)
(1.17, 0.93)
(1.17, 0.9)
(1.17, 0.87)
(1.17, 0.85)
(1.16, 0.82)
(1.16, 0.8)
(1.16, 0.77)
(1.15, 0.74)
(1.15, 0.71)
(1.15, 0.69)
(1.15, 0.67)
(1.15, 0.64)
(1.16, 0.62)
(1.16, 0.59)
(1.15, 0.57)
(1.15, 0.54)
(1.15, 0.51)
(1.15, 0.48)
(1.15, 0.46)
(1.15, 0.43)
(1.16, 0.41)
(1.16, 0.38)
(1.16, 0.35)
(1.16, 0.33)
(1.16, 0.3)
(1.16, 0.27)
(1.16, 0.24)
(1.16, 0.22)
(1.16, 0.19)
(1.16, 0.17)
(1.16, 0.14)
(1.16, 0.11)
(1.16, 0.08)
(1.16, 0.06)
(1.16, 0.03)
(1.16, 0.01)
(1.16, -0.02)
(1.16, -0.05)
(1.16, -0.07)
(1.16, -0.1)
(1.15, -0.12)
(1.15, -0.15)
(1.15, -0.18)
(1.15, -0.21)
(1.15, -0.23)
(1.15, -0.26)
(1.15, -0.28)
(1.15, -0.31)
(1.15, -0.33)
(1.15, -0.36)
(1.15, -0.38)
(1.15, -0.41)
(1.16, -0.44)
(1.16, -0.46)
(1.16, -0.49)
(1.16, -0.52)
(1.16, -0.55)
(1.16, -0.57)
(1.16, -0.6)
(1.16, -0.62)
(1.16, -0.65)
(1.16, -0.68)
(1.16, -0.71)
(1.16, -0.73)
(1.16, -0.76)
(1.16, -0.78)
(1.16, -0.81)
(1.16, -0.84)
(1.16, -0.86)
(1.16, -0.89)
(1.16, -0.91)
(1.16, -0.94)
(1.16, -0.97)
(1.16, -1.0)
(1.16, -1.02)
(1.16, -1.05)
(-5, -5)
(0.8, 1.15)
(0.8, 1.15)
(0.83, 1.15)
(0.86, 1.15)
(0.88, 1.15)
(0.91, 1.15)
(0.93, 1.15)
(0.96, 1.14)
(0.99, 1.14)
(1.02, 1.14)
(1.05, 1.14)
(1.08, 1.14)
(1.09, 1.13)
(1.12, 1.11)
(1.14, 1.09)
(1.16, 1.07)
(1.17, 1.05)
(1.18, 1.03)
(1.17, 1.0)
(1.17, 0.98)
(1.17, 0.95)
(1.17, 0.93)
(1.17, 0.9)
(1.17, 0.87)
(1.17, 0.84)
(1.16, 0.82)
(1.16, 0.79)
(1.16, 0.77)
(1.15, 0.74)
(1.15, 0.71)
(1.15, 0.69)
(1.15, 0.66)
(1.15, 0.64)
(1.15, 0.61)
(1.15, 0.58)
(1.15, 0.56)
(1.15, 0.53)
(1.15, 0.5)
(1.15, 0.48)
(1.15, 0.45)
(1.16, 0.42)
(1.16, 0.39)
(1.16, 0.37)
(1.16, 0.34)
(1.16, 0.31)
(1.16, 0.29)
(1.16, 0.26)
(1.16, 0.23)
(1.16, 0.21)
(1.16, 0.18)
(1.16, 0.15)
(1.16, 0.13)
(1.16, 0.1)
(1.16, 0.08)
(1.16, 0.04)
(1.16, 0.02)
(1.16, -0.01)
(1.16, -0.03)
(1.16, -0.06)
(1.16, -0.08)
(1.15, -0.11)
(1.15, -0.14)
(1.15, -0.16)
(1.15, -0.19)
(1.15, -0.22)
(1.15, -0.25)
(1.15, -0.27)
(1.15, -0.29)
(1.15, -0.32)
(1.15, -0.35)
(1.15, -0.37)
(1.15, -0.4)
(1.15, -0.43)
(1.15, -0.45)
(1.15, -0.48)
(1.16, -0.5)
(1.16, -0.53)
(1.16, -0.56)
(1.16, -0.59)
(1.16, -0.61)
(1.16, -0.64)
(1.16, -0.66)
(1.16, -0.69)
(1.16, -0.72)
(1.16, -0.75)
(1.16, -0.77)
(1.16, -0.79)
(1.16, -0.82)
(1.16, -0.85)
(1.16, -0.88)
(1.16, -0.9)
(1.16, -0.93)
