1.99,0.22,1.99,2.01,0.61,122.04,119.84,115.93,125.04,113.6,114.13,121.1,127.11,0.25,-0.17,-2.2
0.25,1.98,0.44,0.85,1.98,207.48,97.36,122.07,266.57,124.14,129.46,124.36,122.18,0.37,0.01,2.83
1.98,0.26,2,1.99,0.66,124.39,97.3,114.03,142.89,112.12,108.16,122.93,108.19,0.23,0.21,2.49
2.01,0.27,2.05,1.98,0.53,110.88,122.56,112.48,245.56,130.06,281.27,116.21,129.53,0.08,0.39,1.98
2,0.33,1.99,1.99,0.74,127.96,111.4,121.46,122.66,116.65,118.22,125.96,140.64,-0.12,0.3,0.99
2.03,0.25,2,2.01,0.59,129.73,116.25,111.67,109.98,104.66,113.76,125.31,125.84,-0.31,0.15,0.85
2,0.44,2.01,1.97,0.8,182.22,106.83,127.07,137.43,118.46,128.09,125.79,102.54,-0.35,-0.04,-0.57
2.03,0.27,2.02,1.97,0.69,131.98,129.88,127.09,129.22,112.49,104.71,117.55,110.41,-0.23,-0.25,-0.52
1.99,1.97,1.98,2.02,0.85,300.58,138.31,127.33,242.82,129.58,119.05,114.75,131.94,-0.08,-0.39,-2.04
1.98,0.31,2.02,1.99,0.67,133.31,131.5,119.61,111.94,99.1,97.9,109.21,128.47,0.11,-0.25,-2.24
1.98,0.23,2,2.01,0.6,125.98,146.82,121.89,122.42,122.43,127.18,125.46,122.81,0.29,-0.1,-2.2
2.02,0.32,2.04,1.98,0.85,195.92,118.91,127.98,175.31,132.87,111.38,126.45,115.66,0.34,0.1,2.64
2.01,0.29,2,1.98,0.7,109.22,110.06,113.11,132.3,107.58,101.38,88.81,108.1,0.21,0.29,2.51
1.98,0.44,2,2,0.85,201.54,129.45,98.25,200.9,113.15,98.25,120.6,109.4,0.02,0.36,1.01
1.99,0.26,2.02,2,0.65,120.36,105.61,109.46,127.54,112.37,143.34,147.56,99.65,-0.17,0.22,0.94
1.99,0.24,1.98,2.02,0.46,118.7,108.45,99.98,129.99,117.86,172.03,119.5,134.62,-0.36,0.08,0.8
2,0.31,1.96,1.98,0.75,132.71,131.8,94.4,97.45,134.34,118.04,121.39,113.59,-0.32,-0.12,-0.57
2.01,0.23,2,2.02,2.02,126.52,138.89,120.92,107.29,125.19,116.24,116.25,129.88,-0.19,-0.32,-0.52
1.97,0.42,2.04,1.97,0.77,164.07,119.14,148.89,122.99,142.11,120.22,98.74,127.05,-0.01,-0.33,-2.23
2.01,0.28,1.99,1.97,0.66,120.84,131.18,97.24,112.14,121.08,140.3,117.09,100.27,0.17,-0.19,-2.27
2.03,0.27,2.04,1.98,0.47,137.82,141.49,107.05,173.76,118.35,210.15,134.49,133.18,0.35,-0.03,-2.46
2.01,0.26,2.03,2,0.79,161.64,131.99,121.42,136.85,121.71,126.96,125.55,126.43,0.31,0.18,2.51
2,0.23,2,1.98,0.64,135.84,114.57,105.78,131.14,137.61,223.51,127.3,121.94,0.17,0.37,2.34
2.01,0.39,2.01,1.99,0.71,125.45,118.3,150.58,105.08,128.9,129.85,127.07,132.03,-0.04,0.31,0.91
1.99,0.25,1.99,2,0.55,144.62,141.18,127.76,133.34,122.39,113.41,110.03,99.79,-0.22,0.16,0.89
0.23,1.98,0.51,0.79,2.01,106.22,132.72,122.57,328.08,117.94,198.65,120.43,122.55,-0.39,0,0.21
1.98,0.27,2,2.06,0.74,132.96,121.86,136.87,124.65,124.4,102.67,123.52,137.68,-0.28,-0.2,-0.72
2.01,0.25,1.99,1.96,0.49,102.5,117.94,102.33,214.53,116.28,214.82,129.15,109.21,-0.12,-0.38,-1.08
2,0.36,2.01,1.99,0.81,132.67,108.12,110.56,110.32,112.67,106.02,123.29,138.57,0.09,-0.3,-2.19
1.97,0.28,1.99,1.96,0.6,105.6,142.26,131.99,101.8,101.62,133.16,113.81,119.86,0.28,-0.16,-2.11
1.99,0.4,2,2,0.79,198.68,117.31,126.97,210.35,98.7,111.31,138.72,110.1,0.35,0.02,2.57
2,0.23,1.99,1.98,0.63,116.92,122.31,114.24,123.6,110.12,122.95,128.43,122.63,0.21,0.21,2.41
0.26,2.01,1.98,0.78,2.01,132.75,119.06,108.28,220.77,128.05,226.51,128.77,111.12,0.04,0.37,1.96
2,0.28,1.99,1.98,0.78,116.25,127.63,106.92,121.52,119.49,133.32,111.33,127.82,-0.17,0.3,0.98
2.01,0.26,1.96,2.01,0.66,141.94,136.21,126.98,111.03,116.01,220.83,114.58,117.07,-0.37,0.17,0.86
1.99,0.42,2,2,0.69,102.32,128.82,139.55,146.97,128.2,120.59,98.44,94.43,-0.31,-0.03,-0.64
1.98,0.25,2,1.97,0.62,122.63,110.76,126.84,126.85,133.09,119.27,129.72,125.19,-0.18,-0.23,-0.57
0.24,1.99,0.49,0.84,2.02,227.53,129.46,135.83,470.9,91.11,147.73,132.32,111,-0.03,-0.4,-1.68
2.03,0.3,2.01,1.99,0.68,125.09,122.31,112,143.78,117.53,130.57,100.72,117.78,0.16,-0.27,-2.22
2,0.27,1.98,1.99,0.53,96.94,111.75,114.31,123.07,145.02,186.08,112.37,118.31,0.34,-0.11,-2.42
2.01,0.35,2.02,1.99,0.73,147.41,101.24,97.36,133.08,117.53,99.31,145.88,113.23,0.31,0.1,2.58
1.98,0.25,2,2.01,2.02,116.33,123.28,138.22,134.06,112.34,129.28,129.06,139,0.19,0.31,2.65
1.96,0.41,2.03,2.02,0.86,185.64,130.83,122.77,130.71,110.65,129.24,116.36,122.23,0.02,0.35,0.91
2.01,0.29,1.99,2,0.54,114.47,130.41,126.92,113.81,97.88,118.64,125.47,115.46,-0.17,0.21,1
2,0.26,1.98,1.97,0.5,111.03,131.44,105.5,118.57,111.28,221.54,119.86,105.79,-0.36,0.08,0.79
2.03,0.33,2.01,1.99,0.77,139.76,90.86,116.04,111.59,138.2,129.72,104.22,140.45,-0.3,-0.12,-0.73
2,0.2,2.02,2.01,0.55,121.03,118.51,125.98,137.52,120.91,121.27,106.99,130.77,-0.14,-0.29,-0.7
1.98,1.99,2,1.99,0.86,213.44,135.02,103.43,189.93,116.22,129.26,109.99,122.2,0.06,-0.36,-1.99
2.05,0.25,1.99,2.01,0.59,119.72,109.13,136.05,115.24,124.89,110.31,128.53,114.53,0.25,-0.24,-2.24
0.24,2,0.52,0.85,2,229.53,118.4,90.69,222.56,119.27,102.63,134.17,122.95,0.36,-0.05,2.81
2.01,0.26,2.02,1.98,0.73,112.49,121.25,94.93,113.52,116.47,126.56,111.75,105.88,0.25,0.16,2.59
