(0.78, 1.15)
(0.76, 1.15)
(0.73, 1.15)
(0.71, 1.15)
(0.68, 1.15)
(0.65, 1.15)
(0.63, 1.15)
(0.6, 1.15)
(0.58, 1.15)
(0.55, 1.15)
(0.52, 1.15)
(0.5, 1.15)
(0.46, 1.14)
(0.42, 1.13)
(0.4, 1.11)
(0.37, 1.09)
(0.35, 1.06)
(0.35, 1.04)
(0.35, 1.01)
(0.35, 0.98)
(0.35, 0.96)
(0.35, 0.93)
(0.35, 0.9)
(0.36, 0.88)
(0.36, 0.85)
(0.36, 0.83)
(0.36, 0.8)
(0.36, 0.77)
(0.36, 0.74)
(0.36, 0.72)
(0.36, 0.69)
(0.36, 0.66)
(0.37, 0.64)
(0.39, 0.6)
(0.41, 0.58)
(0.44, 0.55)
(0.46, 0.55)
(0.5, 0.55)
(0.52, 0.55)
(0.55, 0.55)
(0.58, 0.55)
(0.61, 0.55)
(0.63, 0.55)
(0.66, 0.55)
(0.68, 0.56)
(0.71, 0.56)
(0.74, 0.56)
(0.76, 0.56)
(0.79, 0.56)
(0.82, 0.56)
(0.85, 0.56)
(0.87, 0.56)
(0.9, 0.56)
(0.91, 0.55)
(0.95, 0.55)
(0.98, 0.54)
(1.03, 0.54)
(1.06, 0.53)
(1.07, 0.52)
(1.08, 0.5)
(1.09, 0.48)
(1.09, 0.46)
(1.1, 0.44)
(1.11, 0.41)
(1.12, 0.39)
(1.14, 0.36)
(1.14, 0.34)
(1.14, 0.31)
(1.15, 0.28)
(1.15, 0.25)
(1.15, 0.23)
(1.15, 0.2)
(1.15, 0.18)
(1.15, 0.15)
(1.15, 0.12)
(1.15, 0.1)
(1.15, 0.07)
(1.16, 0.05)
(1.16, 0.01)
(1.16, -0.01)
(1.16, -0.04)
(1.16, -0.06)
(1.16, -0.09)
(1.15, -0.11)
(1.15, -0.14)
(1.15, -0.17)
(1.15, -0.2)
(1.15, -0.22)
(1.15, -0.24)
(1.15, -0.27)
(1.16, -0.29)
(1.15, -0.32)
(1.15, -0.35)
(1.15, -0.38)
(1.15, -0.4)
(1.15, -0.43)
(1.16, -0.45)
(1.16, -0.49)
(1.16, -0.51)
(1.16, -0.54)
(1.16, -0.57)
(1.16, -0.59)
(1.16, -0.62)
(1.16, -0.64)
(1.16, -0.67)
(1.16, -0.7)
(1.16, -0.73)
(1.16, -0.75)
(1.16, -0.78)
(1.16, -0.8)
