(-0.85, -0.02)
(-0.85, -0.04)
(-0.85, -0.07)
(-0.85, -0.09)
(-0.85, -0.12)
(-0.85, -0.15)
(-0.85, -0.17)
(-0.85, -0.2)
(-0.85, -0.22)
(-0.85, -0.26)
(-0.85, -0.28)
(-0.85, -0.31)
(-0.85, -0.33)
(-0.85, -0.36)
(-0.85, -0.39)
(-0.85, -0.42)
(-0.85, -0.44)
(-0.85, -0.46)
(-0.85, -0.49)
(-0.85, -0.52)
(-0.85, -0.55)
(-0.85, -0.57)
(-0.85, -0.6)
(-0.85, -0.62)
(-0.85, -0.65)
(-0.85, -0.68)
(-0.85, -0.71)
(-0.86, -0.72)
(-0.88, -0.74)
(-0.89, -0.75)
(-0.91, -0.75)
(-0.94, -0.74)
(-0.96, -0.74)
(-0.96, -0.74)
(-0.96, -0.74)
(-0.96, -0.76)
(-0.96, -0.76)
(-0.96, -0.78)
(-0.96, -0.78)
(-0.96, -0.78)
(-0.96, -0.79)
(-0.96, -0.81)
(-0.96, -0.82)
(-0.96, -0.84)
(-0.96, -0.84)
(-0.96, -0.85)
(-0.96, -0.87)
(-0.96, -0.89)
(-0.96, -0.9)
(-0.96, -0.9)
(-0.96, -0.88)
(-0.96, -0.86)
(-0.96, -0.83)
(-0.96, -0.8)
(-0.96, -0.79)
(-0.96, -0.77)
(-0.96, -0.76)
(-0.96, -0.73)
(-0.96, -0.72)
(0, 0)
