(-0.0046, 0.7855)
(-0.0021, 0.7554)
(0.0014, 0.7187)
(0.0039, 0.6886)
(0.0054, 0.6505)
(0.0064, 0.6215)
(0.0077, 0.5913)
(0.0086, 0.5532)
(0.0085, 0.5241)
(0.0097, 0.4872)
(0.0101, 0.457)
(0.0101, 0.4188)
(0.0101, 0.3897)
(0.01, 0.3517)
(0.0099, 0.3226)
(0.0099, 0.2845)
(0.0098, 0.2554)
(0.0097, 0.2174)
(0.0097, 0.1883)
(0.0099, 0.158)
(0.0096, 0.1211)
(0.0106, 0.0909)
(0.0104, 0.0539)
(0.0106, 0.0236)
(0.0103, -0.0133)
(0.0104, -0.0435)
(0.0103, -0.0805)
(0.0104, -0.1107)
(0.0111, -0.1476)
(0.0112, -0.1778)
(0.0111, -0.2148)
(0.0113, -0.245)
(0.011, -0.2819)
(0.0112, -0.3122)
(0.0111, -0.3424)
(0.0112, -0.3794)
(0.011, -0.4095)
(0.0112, -0.4465)
(0.0111, -0.4768)
(0.0112, -0.5137)
(0.0111, -0.5439)
(0.0113, -0.5809)
(0.0112, -0.6111)
(0.0113, -0.648)
(0.0111, -0.6782)
(0.0114, -0.7152)
(0.0112, -0.7455)
(0.0112, -0.7745)
(0.0112, -0.8126)
(0.0113, -0.8417)
(0.0113, -0.8798)
(0.0113, -0.9089)
(0.0114, -0.947)
(0.0114, -0.9761)
(0.0115, -1.0141)
(0.0114, -1.0432)
(0.0116, -1.0813)
(0.0116, -1.1104)
(0.0117, -1.1485)
(0.0117, -1.1776)
(0.0118, -1.2157)
(0.0104, -1.2413)
(0.0088, -1.2588)
(0.0082, -1.2923)
(0.0085, -1.3226)
(0.0145, -1.3529)
(0.0266, -1.3682)
(0.0269, -1.3683)
(0.0359, -1.3466)
(0.0307, -1.3238)
(0.0299, -1.2982)
(0.0312, -1.2579)
(0.0257, -1.2368)
(0.0181, -1.202)
(0.012, -1.1713)
(0.0081, -1.1415)
(0.004, -1.105)
(0.001, -1.075)
(-0.0011, -1.038)
(-0.0032, -1.0078)
(-0.0052, -0.9701)
(-0.006, -0.941)
(-0.0072, -0.9029)
(-0.008, -0.874)
