
--------NEW RUN--------
Format: (rows,columns)
GRID Size (10, 10)
Goal Position: (6, 5)
Number of episodes: 500
--------------Final Q-Table--------------
Pos: (3, 6) Actions Values: {'up': 40.166, 'down': -9.5, 'left': -6.862, 'right': -6.862} Nr Visits: 52
Pos: (4, 6) Actions Values: {'up': 46.279, 'down': -4.095, 'left': -3.439, 'right': -1.357} Nr Visits: 33
Pos: (5, 6) Actions Values: {'up': 67.429, 'down': -1.9, 'left': -1.9, 'right': 0.309} Nr Visits: 27
Pos: (6, 6) Actions Values: {'up': 97.496, 'down': 7.02, 'left': 13.374, 'right': 8.689} Nr Visits: 125
Pos: (7, 6) Actions Values: {'up': -2.684, 'down': -0.906, 'left': 82.617, 'right': -7.185} Nr Visits: 127
Pos: (8, 6) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 6) Actions Values: {'up': -26.085, 'down': -9.995, 'left': -35.878, 'right': -9.995} Nr Visits: 258
Pos: (10, 6) Actions Values: {'up': -17.195, 'down': -9.995, 'left': -9.995, 'right': -23.428} Nr Visits: 252
Pos: (1, 7) Actions Values: {'up': -9.992, 'down': -9.99, 'left': -30.629, 'right': 15.838} Nr Visits: 251
Pos: (2, 7) Actions Values: {'up': 29.065, 'down': -9.97, 'left': -9.973, 'right': -27.582} Nr Visits: 243
Pos: (3, 7) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 7) Actions Values: {'up': 6.91, 'down': -2.71, 'left': -5.0, 'right': -3.439} Nr Visits: 15
Pos: (5, 7) Actions Values: {'up': 20.681, 'down': -2.71, 'left': -3.306, 'right': -5.0} Nr Visits: 19
Pos: (6, 7) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 7) Actions Values: {'up': 68.456, 'down': 9.915, 'left': -0.129, 'right': -7.568} Nr Visits: 137
Pos: (8, 7) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 7) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -32.566, 'right': -9.995} Nr Visits: 340
Pos: (10, 7) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -30.629} Nr Visits: 349
Pos: (1, 8) Actions Values: {'up': 2.062, 'down': -9.995, 'left': -30.629, 'right': -9.787} Nr Visits: 391
Pos: (2, 8) Actions Values: {'up': 2.869, 'down': -23.428, 'left': -9.995, 'right': -26.085} Nr Visits: 192
Pos: (3, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 8) Actions Values: {'up': -3.7, 'down': -5.0, 'left': -5.0, 'right': -4.095} Nr Visits: 12
Pos: (5, 8) Actions Values: {'up': -2.347, 'down': -5.216, 'left': -5.216, 'right': -17.195} Nr Visits: 30
Pos: (6, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 8) Actions Values: {'up': 54.927, 'down': -2.149, 'left': -8.769, 'right': -10.151} Nr Visits: 150
Pos: (8, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 8) Actions Values: {'up': -9.995, 'down': -9.958, 'left': -32.566, 'right': -9.995} Nr Visits: 343
Pos: (10, 8) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -35.878} Nr Visits: 377
Pos: (1, 9) Actions Values: {'up': -9.551, 'down': -9.995, 'left': -38.561, 'right': -32.566} Nr Visits: 478
Pos: (2, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (3, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 9) Actions Values: {'up': -8.499, 'down': -8.332, 'left': -13.55, 'right': -13.55} Nr Visits: 41
Pos: (6, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 9) Actions Values: {'up': 41.866, 'down': -9.234, 'left': -20.012, 'right': -7.805} Nr Visits: 220
Pos: (8, 9) Actions Values: {'up': -30.09, 'down': -9.954, 'left': 29.017, 'right': -9.607} Nr Visits: 290
Pos: (9, 9) Actions Values: {'up': -9.995, 'down': -9.995, 'left': 15.96, 'right': -9.995} Nr Visits: 451
Pos: (10, 9) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -0.042, 'right': -37.29} Nr Visits: 429
